,user_id,checkin_frequency,time_of_day_preference,workout_diversity,seasonal_variability,weekend_preference,avg_workout_duration,checkin_regularity,age,gender
0,user_1,6.93950177935943,morning,6,4.1163630117428225,0.27692307692307694,113.32307692307693,112.54097908853622,56,Female
1,user_10,5.708955223880597,morning,6,3.414023367751831,0.3137254901960784,97.62745098039215,123.87879033102297,28,Non-binary
2,user_100,5.809859154929577,afternoon,6,2.1213203435596424,0.34545454545454546,104.4,121.36729199721213,61,Male
3,user_1000,4.907063197026022,afternoon,6,2.503331114069145,0.29545454545454547,100.97727272727273,110.39086902711912,19,Female
4,user_1001,5.74468085106383,morning,6,1.7763883459298968,0.25925925925925924,110.14814814814815,114.65263686799247,30,Female
5,user_1002,6.474820143884892,morning,6,2.9059326290271157,0.3333333333333333,106.76666666666667,127.85983705227565,57,Female
6,user_1003,4.623655913978494,morning,6,2.110818693198342,0.3953488372093023,103.93023255813954,134.08883156434155,19,Female
7,user_1004,5.8909090909090915,afternoon,6,1.7126976771553504,0.3333333333333333,106.83333333333333,114.57869757962031,37,Non-binary
8,user_1005,6.483516483516484,morning,6,3.1073389830457114,0.23728813559322035,103.88135593220339,135.49835532293667,18,Male
9,user_1006,5.75187969924812,morning,6,2.282785822435191,0.2549019607843137,101.62745098039215,109.28155174145547,54,Male
10,user_1007,5.531914893617021,afternoon,6,2.250925735484551,0.15384615384615385,104.38461538461539,128.5705238685879,26,Male
11,user_1008,6.085409252669039,morning,6,2.2135943621178655,0.3157894736842105,103.47368421052632,127.38528197925795,34,Female
12,user_1009,4.007220216606498,morning,6,1.5670212364724214,0.24324324324324326,87.48648648648648,96.3720098665286,26,Non-binary
13,user_101,6.042402826855123,morning,6,2.110818693198342,0.2807017543859649,101.14035087719299,141.59867836348513,25,Male
14,user_1010,6.192170818505338,morning,6,2.780887148615228,0.27586206896551724,103.5,106.04844438458763,28,Male
15,user_1011,6.678445229681978,morning,6,3.2676869155073254,0.3492063492063492,95.53968253968254,118.53644453600074,32,Female
16,user_1012,4.870848708487085,morning,6,1.9550504398153572,0.20454545454545456,119.18181818181819,107.1199377479418,41,Female
17,user_1013,6.333333333333333,morning,6,2.2632326929023936,0.3333333333333333,109.63157894736842,121.75583268249531,55,Male
18,user_1014,7.963636363636364,morning,6,3.3349995835415367,0.3013698630136986,104.89041095890411,119.74226282746727,52,Male
19,user_1015,6.28158844765343,morning,6,2.3475755815545343,0.27586206896551724,104.87931034482759,118.95362504892694,47,Male
20,user_1016,6.188811188811189,morning,6,2.3309511649396115,0.3728813559322034,99.15254237288136,119.56510349843576,48,Non-binary
21,user_1017,6.232394366197183,afternoon,6,1.6633299933166197,0.2711864406779661,112.05084745762711,117.97153393559293,22,Male
22,user_1018,5.913978494623655,evening,6,2.41522945769824,0.2545454545454545,104.18181818181819,113.60978891348736,61,Female
23,user_1019,6.45985401459854,morning,6,2.5144029554194813,0.2711864406779661,102.86440677966101,106.19695572815924,31,Male
24,user_102,7.090909090909092,morning,6,3.2058973436118907,0.27692307692307694,106.98461538461538,106.85647987682668,41,Female
25,user_1020,5.658362989323843,afternoon,6,2.0027758514399734,0.3584905660377358,105.11320754716981,113.06239017638973,28,Female
26,user_1021,6.218181818181819,afternoon,6,2.057506581601462,0.2631578947368421,107.75438596491227,122.0797216639948,26,Male
27,user_1022,5.168539325842697,morning,6,2.836272984824353,0.30434782608695654,103.8913043478261,113.08031918003498,51,Female
28,user_1023,6.2105263157894735,morning,6,2.1317702607092643,0.3898305084745763,107.28813559322033,123.98378818949394,29,Female
29,user_1024,7.148014440433213,afternoon,6,2.2211108331943574,0.21212121212121213,111.75757575757575,112.65662814670347,52,Female
30,user_1025,6.2921348314606735,morning,6,2.503331114069145,0.30357142857142855,87.91071428571429,93.61249017357842,52,Female
31,user_1026,5.740072202166066,afternoon,6,2.7507574714370344,0.39622641509433965,95.67924528301887,116.27913280979736,18,Male
32,user_1027,7.711267605633803,afternoon,6,3.16403399335581,0.2191780821917808,112.46575342465754,123.36678822365329,57,Female
33,user_1028,4.27007299270073,afternoon,6,2.0248456731316584,0.3333333333333333,109.8974358974359,130.3400301934876,39,Male
34,user_1029,6.286764705882353,morning,6,2.3118054512532935,0.17543859649122806,106.94736842105263,132.60212800196442,46,Male
35,user_103,5.434782608695652,morning,6,2.8674417556808756,0.24,105.12,112.30416439356136,28,Male
